Clade_1,Clade_2,Clade_3,Clade_4,Altricial,Extinct,Ecto_Endo_Meso,polar,Captive_Wild,Wild_Domesticated,Curve_or_equation,Species_binomial,maxGG3,G3M.est,G3K.est,MaxG.Mest.G3,MetabolicMass,MR.observed_metabolic_rate,MassnormMet27,MassnormMet25,MassnormMet,Temp_C_original
Neornithes,Palaeognathae,Struthioniformes,Struthioniformes,Precocial,L,endo,NaN,C,W,N,Casuarius_casuarius,146.2660984,44000,0.009036193,0.04814533,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Falconiformes,Falconiformes,Altricial,L,endo,NaN,W,W,N,Cathartes_aura,51.95866211,2061.670211,0.068506731,0.169821848,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Anseriformes,Anseriformes,Precocial,L,endo,NaN,W,W,N,Chen_caerulescens,55.15645911,2382.891161,0.062919701,0.161721672,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Falconiformes,Falconiformes,Altricial,L,endo,NaN,W,W,N,Coragyps_atratus,43.78345732,2049.026799,0.058084051,0.143763727,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Passeriformes,Passeriformes,Altricial,L,endo,NaN,W,W,N,Corvus_brachyrhynchos,23.90980109,436.0814796,0.149039986,0.25055336,384.8,3.283,0.037787189,0.037787189,0.037787189,NA
Neornithes,Neoaves,Passeriformes,Passeriformes,Altricial,L,endo,NaN,W,W,N,Corvus_corax,51.00977535,973.3647134,0.142453228,0.292716169,1203,5.5338,0.02709095,0.02709095,0.02709095,NA
Neornithes,Neoaves,Passeriformes,Passeriformes,Altricial,L,endo,NaN,W,D,C,Corvus_cryptoleucus,26.18414856,476.2316756,0.149456449,0.256847148,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Galliformes,Galliformes,Precocial,L,endo,NaN,C,D,N,Coturnix_chinensis,1.327824611,58.08639902,0.062138497,0.063108066,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Galliformes,Galliformes,Precocial,L,endo,NaN,C,W,N,Coturnix_coturnix,2.229469182,118.9229884,0.050960085,0.061908761,115,0.978,0.027849376,0.027849376,0.027849376,NA
Neornithes,Neoaves,Psittaciformes,Psittaciformes,Altricial,L,endo,NaN,W,W,N,Cyanoliseus_patagonus,21.35509057,289.0635567,0.200817963,0.304618595,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Galliformes,Galliformes,Precocial,L,endo,NaN,W,W,N,Dendragapus_obscurus,11.49740535,748.6745971,0.041744689,0.080330417,1131,4.957,0.025416864,0.025416864,0.025416864,NA
