ID	lat	mean_temp	log_npp	vsd_richness	Actinobacteria	Chloroflexi	ecoregion_iv
PCS140320.13	36.294017	14.6	-0.8860566477	783.6198777589	1396	148	Eastern Mojave Low Ranges and Arid Footslopes
PCS140320.16	36.294017	14.6	-0.8860566477	541.6572691506	869	72	Eastern Mojave Low Ranges and Arid Footslopes
PCS140320.19	36.294017	14.6	-0.8860566477	811.2144772206	768	109	Eastern Mojave Low Ranges and Arid Footslopes
PCS140320.4	36.294017	14.6	-0.8860566477	468.3215033379	389	38	Eastern Mojave Low Ranges and Arid Footslopes
PCS140320.7	36.294017	14.6	-0.8860566477	512.2540010819	659	47	Eastern Mojave Low Ranges and Arid Footslopes
RSS140621.1	32.110168	16.9	-0.7447274949	509.1034504597	1692	32	Chihuahuan Desert Grasslands
RSS140621.13	32.110168	16.9	-0.7447274949	554.4751517623	2024	32	Chihuahuan Desert Grasslands
RSS140621.5	32.110168	16.9	-0.7447274949	388.8106281249	258	5	Chihuahuan Desert Grasslands
RSS140621.9	32.110168	16.9	-0.7447274949	108.8061439475	45	0	Chihuahuan Desert Grasslands
RSS140624.1	32.110168	16.9	-0.7447274949	586.9642884782	485	11	Chihuahuan Desert Grasslands
RSS140624.5	32.110168	16.9	-0.7447274949	699.2294339827	2037	57	Chihuahuan Desert Grasslands
TOR140504.1	33.86305	14	-0.7958800173	206.1884721663	3096	2	Chihuahuan Basins and Playas
TOR140504.13	33.86305	14	-0.7958800173	186.2428147813	3734	0	Chihuahuan Basins and Playas
TOR140504.17	33.86305	14	-0.7958800173	157.0156368521	1767	0	Chihuahuan Basins and Playas
TOR140504.21	33.86305	14	-0.7958800173	186.6676885248	3091	5	Chihuahuan Basins and Playas
TOR140504.25	33.86305	14	-0.7958800173	181.1138274195	2782	2	Chihuahuan Basins and Playas
TOR140504.29	33.86305	14	-0.7958800173	266.1365541345	4211	1	Chihuahuan Basins and Playas
TOR140504.33	33.86305	14	-0.7958800173	259.7784273406	4460	0	Chihuahuan Basins and Playas
TOR140504.37	33.86305	14	-0.7958800173	252.2841643916	3424	3	Chihuahuan Basins and Playas
TOR140504.41	33.86305	14	-0.7958800173	218.948915565	3611	0	Chihuahuan Basins and Playas
TOR140504.45	33.86305	14	-0.7958800173	173.8689053972	4221	0	Chihuahuan Basins and Playas
TOR140504.49	33.86305	14	-0.7958800173	227.8977550263	5461	0	Chihuahuan Basins and Playas
TOR140504.5	33.86305	14	-0.7958800173	127.1514921705	1412	1	Chihuahuan Basins and Playas
TOR140504.9	33.86305	14	-0.7958800173	313.5198039592	3689	0	Chihuahuan Basins and Playas
WCS140623.1	32.186935	16.2	-0.7695510786	406.2162946228	262	9	Chihuahuan Desert Slopes
WCS140623.13	32.186935	16.2	-0.7695510786	752.3604307564	1196	46	Chihuahuan Desert Slopes
WCS140623.5	32.186935	16.2	-0.7695510786	309.7284623015	156	7	Chihuahuan Desert Slopes
WCS140623.9	32.186935	16.2	-0.7695510786	296.7217500566	244	9	Chihuahuan Desert Slopes
ZL140418.1	34.96	8.1	-0.721246399	401.0155944092	1295	68	Lava Malpais
