,Sample ID,Pool Name,Location,Source,T (C),pH,Ca (ppm),Mg (ppm),Na (ppm),K (ppm),HCO3 (ppm),Cl (ppm),SO4 (ppm),TDS (ppm),Log pCO2,SI Cal,SI Dol,SI Gyp,Ext C,Balance
25,GO-5,Lake Lechuguilla,GO-5,Turin_Plummer2000,18.00,7.70,77.20,58.50,4.50,1.60,182.00,5.50,250.00,579.30,-2.51,0.18,0.49,-1.29,0.0013,-0.01
26,GO-6,First Pool on Trail from Entrance,GO-6,Turin_Plummer2000,18.00,8.30,19.20,57.90,3.00,1.10,280.00,4.00,39.00,404.20,-2.93,0.42,1.59,-2.58,0.0021,0.02
27,GO-7,Liberty Bell Room - Main Pool,GO-7,Turin_Plummer2000,18.00,8.40,23.10,41.10,3.40,0.90,206.00,4.10,39.00,317.60,-3.16,0.49,1.49,-2.46,0.0015,0.06
28,GO-8,Liberty Bell Room - Shelf Pool on Flowstone,GO-8,Turin_Plummer2000,18.00,8.20,23.10,31.80,3.00,0.80,186.00,3.90,31.00,279.60,-2.99,0.27,0.95,-2.52,0.0015,-0.03
29,GO-9,Liberty Bell Room - Drip Pool Below Liberty Bell,GO-9,Turin_Plummer2000,18.00,8.10,27.30,32.80,2.70,0.80,216.00,3.70,29.00,312.30,-2.83,0.31,0.95,-2.49,0.0018,-0.05
30,GO-10,Liberty Bell Room - pool on Rope on Flowstone,GO-10,Turin_Plummer2000,18.00,7.90,28.70,32.40,2.90,0.70,212.00,3.80,30.00,310.50,-2.63,0.13,0.57,-2.45,0.0017,-0.05
31,GO-11,Liberty Bell Room - Pool at Bottom of Rope,GO-11,Turin_Plummer2000,18.00,7.90,45.80,58.20,6.30,2.50,193.00,7.30,176.00,489.10,-2.69,0.20,0.77,-1.62,0.0015,0.01
32,GO-12,Candlestick Pool at F-26,GO-12,Turin_Plummer2000,18.00,8.20,32.50,26.90,3.50,1.10,186.00,3.20,34.00,287.20,-2.99,0.42,1.02,-2.34,0.0015,0.02
33,GO-13,Pool at F-27/28,GO-13,Turin_Plummer2000,18.00,8.20,33.40,23.10,2.80,1.00,162.00,3.00,44.00,269.30,-3.05,0.37,0.85,-2.20,0.0013,-0.01
34,GO-14,Pool at F-30A,GO-14,Turin_Plummer2000,18.00,8.20,26.30,26.90,3.10,0.90,162.00,3.10,31.00,253.30,-3.05,0.28,0.82,-2.45,0.0012,0.06
35,GO-15,Deep Blue Pool above Lake LeBarge,GO-15,Turin_Plummer2000,18.00,7.90,30.70,20.90,3.30,0.90,145.00,2.50,31.00,234.30,-2.79,0.01,0.12,-2.37,0.0011,0.06
36,GO-16,Lake LeBarge,GO-16,Turin_Plummer2000,18.00,7.70,33.10,21.20,3.10,0.90,164.00,2.80,30.00,255.10,-2.54,-0.10,-0.14,-2.36,0.0013,0.02
37,GO-17,Lake Chandelar,GO-17,Turin_Plummer2000,18.00,7.90,40.90,23.40,3.40,0.80,139.00,3.00,70.00,280.50,-2.81,0.09,0.19,-1.93,0.0010,0.05
38,GO-18,Shallow Pool Just Below Lake Chandelar,GO-18,Turin_Plummer2000,18.00,7.90,85.80,22.10,3.50,1.20,127.00,2.80,190.00,432.40,-2.86,0.30,0.27,-1.28,0.0010,0.00
39,GO-19,Last Water - Tinseltown,GO-19,Turin_Plummer2000,18.00,8.30,35.70,71.70,11.70,2.60,208.00,11.00,195.00,535.70,-3.07,0.50,1.56,-1.71,0.0016,0.03
40,GO-20,Gorilla Piss Pool (Briny Pool),GO-20,Turin_Plummer2000,18.00,8.40,57.30,5690.00,4160.00,313.00,1330.00,4250.00,22500.00,38300.30,-2.70,0.67,3.61,-0.82,0.0207,-0.01
41,GO-21,Pearlsian Gulf Main Pool,GO-21,Turin_Plummer2000,18.00,7.90,32.00,34.80,2.50,0.70,254.00,2.70,16.00,342.70,-2.55,0.25,0.79,-2.69,0.0021,-0.02
42,GO-22,Pearlsian Gulf Upper Pool at Dipper,GO-22,Turin_Plummer2000,18.00,7.80,28.00,33.20,2.30,0.60,218.00,2.30,24.00,308.40,-2.52,0.03,0.40,-2.56,0.0018,0.00
43,GO-23,Pool Outside Pearlsian Gulf (to left on way out),GO-23,Turin_Plummer2000,18.00,7.80,43.80,33.00,2.40,0.60,182.00,2.30,92.00,356.10,-2.60,0.11,0.36,-1.83,0.0015,-0.02
44,GO-24,Pool Before Rope to Yo Acres,GO-24,Turin_Plummer2000,18.00,7.90,22.90,42.50,3.20,0.90,242.00,3.10,26.00,340.60,-2.58,0.08,0.68,-2.63,0.0019,0.00
45,GO-25,Pool Behind First Rope to Yo Acres,GO-25,Turin_Plummer2000,18.00,7.80,25.70,33.70,2.60,0.60,230.00,2.70,13.00,308.30,-2.49,0.02,0.42,-2.86,0.0019,-0.03
46,GO-26,Yo Acres - Pool Below KP-7,GO-26,Turin_Plummer2000,18.00,7.90,27.20,35.80,2.50,0.60,236.00,2.50,15.00,319.60,-2.59,0.15,0.68,-2.78,0.0019,0.01
47,GO-27,Yo Acres - Pool Below KP-12,GO-27,Turin_Plummer2000,18.00,7.80,26.90,41.40,2.80,0.30,248.00,2.90,21.00,343.30,-2.46,0.06,0.57,-2.66,0.0019,0.02
48,GO-28,Castrovalva - Pool 1 at Raft,GO-28,Turin_Plummer2000,18.00,7.90,29.60,38.00,3.20,0.80,254.00,2.60,14.00,342.20,-2.56,0.22,0.80,-2.79,0.0020,0.02
49,GO-29,Castrovalva - Pool 2,GO-29,Turin_Plummer2000,18.00,7.90,35.50,36.80,3.40,0.70,266.00,2.90,21.00,366.30,-2.54,0.31,0.89,-2.54,0.0022,-0.01
50,GO-30,Castrovalva - Pool 3,GO-30,Turin_Plummer2000,18.00,7.80,35.00,37.80,3.30,0.80,260.00,3.10,23.00,363.00,-2.45,0.19,0.67,-2.51,0.0021,0.01
51,GO-31,Castrovalva - Raised Pool at End of Passage,GO-31,Turin_Plummer2000,18.00,7.90,29.50,32.90,2.90,0.80,230.00,2.20,12.00,310.30,-2.60,0.18,0.67,-2.84,0.0018,0.03
52,GO-32,Void Pool,GO-32,Turin_Plummer2000,18.00,8.10,29.00,31.60,2.40,0.60,210.00,2.80,31.00,307.40,-2.84,0.32,0.94,-2.43,0.0017,-0.03
53,GO-33,Sulfur Shores,GO-33,Turin_Plummer2000,18.00,6.20,43.90,32.20,3.40,0.80,274.00,2.70,25.00,382.00,-0.82,-1.28,-2.44,-2.37,0.0023,-0.06
54,GO-34,Entering Tower Place at Rope,GO-34,Turin_Plummer2000,18.00,7.90,31.70,38.00,3.00,1.10,242.00,3.40,28.00,347.20,-2.58,0.22,0.77,-2.46,0.0019,0.01
55,GO-35,Tower Place Main Pool,GO-35,Turin_Plummer2000,18.00,7.90,32.30,38.00,2.80,1.00,236.00,3.30,29.00,342.40,-2.59,0.21,0.76,-2.44,0.0018,0.03
56,GO-36,Upper Tower Place Pool,GO-36,Turin_Plummer2000,18.00,7.90,26.80,38.00,3.00,1.00,230.00,3.30,23.00,325.10,-2.60,0.13,0.67,-2.61,0.0018,0.03
57,GO-37,Dilithium Crystal Pool,GO-37,Turin_Plummer2000,18.00,7.90,566.00,47.90,1.80,1.10,72.90,1.40,1540.00,2231.10,-3.17,0.57,0.33,-0.03,0.0011,-0.03
58,GO-38,Vesuvius Pool,GO-38,Turin_Plummer2000,18.00,7.80,26.10,34.70,2.40,0.80,236.00,2.30,17.00,319.30,-2.48,0.04,0.46,-2.74,0.0020,-0.05
59,GO-39,Atlantis Pool,GO-39,Turin_Plummer2000,18.00,7.90,30.20,33.00,2.30,0.80,242.00,2.30,12.00,322.60,-2.57,0.21,0.72,-2.83,0.0020,-0.02
60,GO-40,Aqua Velvet,GO-40,Turin_Plummer2000,18.00,7.90,30.40,34.30,2.40,0.80,242.00,2.30,15.00,327.20,-2.57,0.21,0.73,-2.73,0.0020,-0.01
61,GO-41,Deep Expectations - Mammillary Pool at EC-27C,GO-41,Turin_Plummer2000,18.00,8.20,27.80,33.00,6.60,0.80,186.00,11.00,37.00,302.20,-3.00,0.35,1.02,-2.38,0.0014,0.01
62,GO-42,Deep Expectations - Little Lake of the Clouds,GO-42,Turin_Plummer2000,18.00,8.10,32.60,29.40,2.90,0.50,186.00,2.80,36.00,290.20,-2.89,0.32,0.86,-2.32,0.0014,0.01
